id,iso_code,date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality
178294,BOL,2022-06-03,547.0,0.0,,,,,,,,,
178295,BES,2022-06-02,0.0,0.0,,,,,,,,,
178296,BES,2022-06-03,0.0,0.0,,,,,,,,,
178297,BIH,2022-06-02,21.0,0.0,,,,,,,,,
178298,BIH,2022-06-03,13.0,0.0,,,,,,,,,
178299,BWA,2022-06-02,,0.0,,,,,,,,,
178300,BWA,2022-06-03,,0.0,,,,,,,,,
178301,BRA,2022-06-02,41273.0,129.0,,,,,,,,,
178302,BRA,2022-06-03,36189.0,41.0,,,,,184018923.0,166365243.0,97467265.0,,
178303,VGB,2022-06-02,0.0,0.0,,,,,,,,,
178304,VGB,2022-06-03,0.0,0.0,,,,,,,,,
178305,BRN,2022-06-02,367.0,0.0,,,,,,,,,
178306,BRN,2022-06-03,342.0,0.0,,,,,,,,,
178307,BGR,2022-06-02,182.0,3.0,,,,0.0364,,2059753.0,758976.0,498.0,
178308,BGR,2022-06-03,189.0,10.0,,,,,,2059874.0,759255.0,447.0,
178309,BFA,2022-06-02,0.0,0.0,,,,,,,,,
178310,BFA,2022-06-03,0.0,0.0,,,,,,,,,
178311,BDI,2022-06-02,50.0,0.0,,,,0.0094,,,,,
178312,BDI,2022-06-03,45.0,0.0,,,,,,,,,
178313,KHM,2022-06-02,0.0,0.0,,,,0.0,,,,,
178314,KHM,2022-06-03,0.0,0.0,,,,,,,,,
178315,CMR,2022-06-02,0.0,0.0,,,,,,,,,
178316,CMR,2022-06-03,0.0,0.0,,,,,,,,,
178317,CAN,2022-06-02,3087.0,136.0,,,,,,,,,
178318,CAN,2022-06-03,3500.0,43.0,,,,,,,,,
178319,CPV,2022-06-02,41.0,0.0,,,,,,,,,
178320,CPV,2022-06-03,50.0,0.0,,,,,,,,,
178321,CYM,2022-06-02,,0.0,,,,,,,,,
